parcel_id,latitude,longitude
010860034,40.3971932,-111.8492446
010860035,40.3970385,-111.8492802
010860036,40.3961949,-111.8489763
010860037,40.3964774,-111.8489901
010880008,40.3946513,-111.8428291
010880009,40.3947337,-111.8426053
010880010,40.394694,-111.8424455
010880011,40.3948683,-111.8428318
010880015,40.39401,-111.8413939
010890001,40.3935875,-111.8424222
010620015,40.3917904,-111.8486009
010630001,40.3916075,-111.8495836
010630002,40.3916121,-111.8498752
010630003,40.3917735,-111.8495845
010630004,40.3916564,-111.8501921
010630006,40.3921941,-111.850252
010630007,40.3923057,-111.850576
010630008,40.3920601,-111.8505747
010630009,40.3920676,-111.8496179
010680061,40.3960163,-111.8514793
010680062,40.3960565,-111.8509623
010680069,40.3956354,-111.851741
010880002,40.3942563,-111.8416947
010880003,40.3940408,-111.8421356
010880004,40.394037,-111.8423994
010880005,40.3943581,-111.8421015
010620005,40.3916039,-111.8485934
010620006,40.3915709,-111.848969
010620008,40.3923151,-111.8489644
010620009,40.3923224,-111.8485733
010620010,40.3920691,-111.8488418
010620011,40.3918352,-111.8488932
010620012,40.3923345,-111.8479301
010620013,40.3923278,-111.8482867
010620014,40.3920817,-111.8480773
010680050,40.3928545,-111.8511886
010680051,40.392757,-111.8518058
010680052,40.3940923,-111.8507058
010680053,40.3943481,-111.8506836
010680054,40.3951008,-111.8516185
010680057,40.3942334,-111.8514491
010680059,40.3945281,-111.8514036
010680060,40.3960821,-111.8518846
010720009,40.3935052,-111.8473102
010720010,40.3932573,-111.8472997
010720011,40.3935473,-111.8464
010720012,40.3932905,-111.8463931
010720013,40.3934203,-111.8467228
010730003,40.3929321,-111.8454404
010730006,40.3935632,-111.8458309
010730008,40.393578,-111.8448922
010730009,40.3933261,-111.8449995
010880006,40.3944433,-111.8427794
010880007,40.3944374,-111.8423262
020200016,40.3751733,-111.8022778
020200017,40.3757622,-111.8015812
020200023,40.3756421,-111.8021484
020200024,40.3757059,-111.8035176
020200029,40.3755485,-111.801738
020020073,40.4539075,-111.7792122
020160041,40.3734799,-111.7995883
020160042,40.373543,-111.8003037
020200030,40.3759084,-111.8022267
020200031,40.3752444,-111.801648
020200032,40.3753275,-111.8016794
020200033,40.375378,-111.8026823
020060052,40.4530146,-111.7760667
